x,x,x, , , , , , , , , , , , , , ,x,x, , , , , , 
x, , , , ,x,x,x, ,x, , , , , ,x,x,x,x, , , , , , 
 , , ,x, , , , ,x,x, , , , , ,x,x,x, , ,x,x,x,x, 
 , , , , , , , ,end,x,x, , , , ,x, ,x, , , , , , , 
x, , , ,x,x,x, , ,x,x, ,x,x, , , , , ,x,x, ,x, , 
 , , ,x,x,x,x,x, ,x, , , , ,x, , , , , ,x,x, , ,x
x,x,x,x,x,x,x,x,x,x,x,x, , , ,x, ,x, , ,x, , ,x, 
 , , , ,x, , ,x,x, ,x,x, ,x, , , , , ,x,x,x, , , 
 , ,x, , , , , ,x, , , ,x,x,x, , , , ,x, ,x, , , 
x,x,x,x,x, , , , , , , ,x, ,x,x,x,x,x,x, ,x, ,x, 
x, , , , , , , ,x, , , , , ,x,x,x, , ,x, , ,x, , 
x, ,x,x, ,x, , ,x,x, , ,x, ,x, , , , , ,x, , , , 
x,x, , , , , , , , ,x, , , ,x, , , , , ,x,x, , , 
 , , , , ,x,x,x,x,x, , , , ,x, , , , , ,x, , ,x, 
 , , ,x,x,x,x,x, ,x, , , , , , , , ,x, , , , , , 
x, , , ,x, , , , , ,x,x,x,x,x, , , , , , , ,x,x,x
x,x, , , , , , ,x, ,x,x, ,x, , , , , , ,x,x,x,x, 
x,x,x,x, , ,x, , , ,x,x, , , ,x, ,x,x, , , , ,x, 
x, , ,x, , , ,x, ,x, , , , , , , , , ,x, , , ,x,x
 , , , , , , , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x
x, ,x,x,x, ,x, ,x, ,x,x,x,x, , , ,x, ,x,x,x,x,x,x
 , , ,x, , , , , ,x, , , ,x, ,x,x, , , ,x,x,x,x,x
 , ,x, , , , , , ,x, , , , ,x, ,x, , , , , , , ,x
 , , , , , , ,x, , , , ,x, , , , , , , , , , , ,x
x,x,x,x, ,x, , ,x, , ,x, , ,x, , , , , , ,x,p, , 
